landlord_name,mailing_address,tenant_name,additional_occupants,property_address,beds,baths,start_date,end_date,monthly_rent
Maria Murphy DVM,"USNS Thompson, FPO AE 73064",Cindy Rodriguez,None,"7967 Webb Isle, South Nicole, OR 36703",1,2,2023-05-03,2025-03-14,2239
Mary Hamilton,"377 Jennifer Centers, Mayochester, AZ 92426",Stephanie Elliott,None,"528 Brittany Tunnel Suite 550, Jesustown, ND 96262",3,2,2024-09-04,2026-06-20,4206
Alexandra Rivera,"066 Martinez Road, Phillipsberg, CT 45262",Ryan Park,None,"55204 Heather Stravenue, Annamouth, PA 86259",1,4,2024-02-03,2026-03-20,1553
David Carter,"3150 Jean Stravenue, East Austin, DE 25291",Ana Smith,None,"85409 Ramirez Light, Michellemouth, MI 75217",5,4,2025-01-06,2026-09-12,4091
William Knox,"5655 Wright Neck, Port Kevin, MI 47275",Timothy Saunders,Melinda Berry,"818 Skinner Lake, East Jenniferport, NY 12015",4,2,2024-07-15,2026-03-26,3541
Sandra Perez,"3572 Morgan Drive Apt. 422, Lake Timothy, NC 19349",Scott Ferrell,None,"77933 William Estate Suite 966, East Marybury, DC 11639",3,1,2023-02-25,2026-11-21,3794
Felicia Taylor,"51594 Dillon Gateway Suite 670, Smithmouth, NV 10138",Brian Johnson,None,"055 Larsen Parks Suite 924, Johnburgh, CO 27287",5,2,2023-12-24,2025-11-17,2130
Carol Rich,"9128 Woodward Vista Apt. 424, Loriville, MN 87285",Michael Riggs,None,"8421 Donna Squares, Lake Whitneymouth, AL 09075",3,1,2023-05-16,2025-03-07,1729
Krista Weaver,"1719 Alvarez Bridge Suite 288, Paulburgh, MI 14196",Jose Hendricks,None,"317 Gonzalez Glens, Smithfort, IN 99804",1,2,2023-04-06,2026-11-18,3447
Lisa Campos,"20791 Turner Lodge, South Brandy, AK 80125",Michael Alvarez,Leon Sweeney,"02256 Katherine Freeway Apt. 011, Marcusport, MD 65382",2,1,2024-09-10,2026-11-07,2144
Tammy Scott,"61532 Brown Manors, Charlesville, CA 90664",Kyle Snyder,Spencer Navarro,"363 Anderson Spur Suite 676, North Austinfurt, MO 45097",5,3,2023-03-29,2025-02-15,3521
Gregory Erickson,"9975 Kristi Corner Apt. 000, Lake Christyborough, CO 23717",Rhonda Vance,None,"PSC 4890, Box 9064, APO AA 95929",5,4,2025-02-02,2025-03-02,1361
James Robertson,"USCGC Phillips, FPO AE 64523",Kimberly Forbes,None,"49473 White Isle, Ramirezside, NC 53293",2,2,2024-12-24,2026-01-27,1254
Melissa Arellano,"58858 Robert Lane, New Edwardmouth, MT 19188",Gary Krause,None,"9647 Larsen Cape Suite 578, Elliottland, IN 92490",1,1,2023-09-11,2026-04-04,4773
Aaron Fisher,"91590 Sarah Mountains Apt. 136, West James, NJ 38191",Tara Taylor,None,"1264 Raymond Parkway Suite 186, Steveton, MN 55129",3,4,2024-11-18,2025-03-21,2553
Seth Anderson,"7967 Hawkins Ramp Apt. 151, Martinezmouth, IA 64030",Amber Bailey,None,"2362 Romero Green Suite 898, Lake Nathan, MT 66476",5,1,2024-10-04,2026-08-25,3382
Austin Perez,"1517 Ryan Stravenue Suite 075, North Michael, AR 88269",Susan Chan,None,"USCGC Cantu, FPO AE 06989",5,1,2024-12-22,2025-09-20,4176
Lindsay Bailey,"2021 Austin Shoal, Port Ryan, WI 53776",Jacob Anderson,None,"6580 Brittany Via, Clarkmouth, VA 92083",2,1,2024-10-27,2026-05-05,3404
Jessica Walker,"182 Anthony Shoal Apt. 460, West Marcusfort, NC 91499",Amanda Welch,Kaitlyn Rhodes,"020 Thomas Estate Suite 834, East Philipfort, MI 76452",1,1,2024-07-12,2025-06-01,3638
Matthew Roberts,"USS Willis, FPO AA 58217",Richard Harrison,None,"73760 Kayla Walk, Alyssaport, VA 15106",5,4,2023-04-16,2025-07-14,2444
Brian Gentry,"2656 Gutierrez Fork Suite 255, North Jonathanmouth, WA 62430",Sandra Miller,None,"16681 Emily Heights, North Anne, KS 31934",1,1,2025-01-29,2025-07-05,1680
Scott Gonzales,"73059 Gillespie Valleys, Stephanieton, NH 96779",Tina Reynolds,None,"784 Michael Freeway Apt. 288, South James, OR 78014",5,3,2023-09-03,2026-08-10,4097
Grant Francis,"6209 Lee Islands, Campbellchester, FL 74660",Emily Duke,None,"00505 Megan Rue, Port Davidborough, CO 05650",4,1,2023-07-23,2026-02-23,3744
Christopher Cole,"USNS Rogers, FPO AA 60684",Anna Wells,Angela Lewis,"5597 Hogan Skyway, South Dawnbury, CA 41661",5,2,2024-05-18,2025-11-05,2520
Donald Ayala,"7577 Wanda Court, East Stephanie, RI 42746",Bridget Johnson,None,"USNV Wade, FPO AP 82671",3,4,2024-11-04,2026-06-20,3812
Alyssa Allen,"Unit 8146 Box 0936, DPO AE 67537",Cameron Nixon,None,"71932 Suzanne Crossing, East Julieville, OH 47396",2,4,2023-04-16,2026-08-28,4530
Kimberly Ramirez,"53809 Williamson Ways Apt. 777, Isaiahview, MT 38848",Andrew Scott,None,"571 Baker Meadow, Jacquelinemouth, NV 59883",2,1,2024-02-07,2027-01-28,1596
Darryl Prince,"3185 Freeman Pine, Elizabethland, HI 54050",Jessica Mcclure,Jessica Rodriguez,"52579 Monique Burg, Port Dakota, NM 71599",2,1,2024-01-08,2026-09-02,4513
Paul Lewis,"PSC 0288, Box 8064, APO AA 63602",Samuel Smith,None,"6178 Kristina Junctions, East Ashley, MN 27728",2,2,2024-02-08,2025-04-28,2804
Jacob Lee,"264 Richard Cliff Suite 216, Port Joseph, NC 52724",Kevin Lopez,None,"USCGC Wright, FPO AE 78294",1,1,2023-08-24,2025-10-27,1116
Kenneth Lyons,"65683 Dean Villages, Heidiport, IA 68930",Dylan Williams,None,"37256 Russell Spur, Anthonyland, MT 36746",5,2,2023-07-16,2026-11-03,3760
James Murphy,"394 Sanchez Highway, Smithborough, SD 78192",Matthew Dickerson,None,"804 Natalie Neck, North Brittany, WY 97692",1,1,2023-10-05,2025-04-16,2612
Dean Hansen,"765 Jordan Lodge, Lake Alexandratown, GA 16053",Kimberly Gonzales,None,"89619 Robinson Fords Suite 451, Williamschester, UT 23506",1,3,2023-05-19,2025-04-13,1411
Debra Morales,"126 Angela Extensions Suite 672, South Jessicamouth, CA 38227",James Johnson,Julie Lopez,"5953 James Estate Suite 619, Lake Austin, GA 73175",1,1,2023-08-15,2026-07-12,2987
Nicole Adams,"Unit 8787 Box 8063, DPO AE 08330",Eric Garrett,None,"37839 Atkins Gardens Apt. 298, Phillipmouth, ME 02694",4,2,2024-06-08,2025-07-28,1002
Jason James,"98915 Luna Prairie, Port Maryberg, OR 15169",Kevin Willis,None,"253 Richardson Lock Apt. 812, New Gregory, AK 89228",1,2,2024-05-05,2026-03-11,2186
Jose Ortiz,"2338 Wallace Circle, West Robertville, VT 10745",Dr. Sean Thomas Jr.,None,"5153 Velez Highway, Angelaburgh, CO 46285",3,4,2023-07-01,2025-09-26,1332
Margaret Banks,"3481 Elizabeth Tunnel Apt. 493, Jenniferport, ID 51334",Troy Ashley,None,"219 Briggs Cape Suite 311, Millerview, FL 15794",2,4,2023-07-08,2025-07-23,4147
